,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
1,DeAngelo Williams,PIT,1,26,143,2,9,6,28,0,29.1,29.1,2016,1
2,C.J. Anderson,DEN,1,20,92,1,5,4,47,1,25.9,25.9,2016,1
3,Spencer Ware,KC,1,11,70,1,8,7,129,0,25.9,25.9,2016,1
4,Theo Riddick,DET,1,7,45,1,5,5,63,1,22.8,22.8,2016,1
5,Carlos Hyde,SF,1,23,88,2,3,2,5,0,21.3,21.3,2016,1
6,DeMarco Murray,TEN,1,13,42,0,7,5,35,2,19.7,19.7,2016,1
7,David Johnson,ARI,1,16,89,1,6,4,43,0,19.2,19.2,2016,1
8,Ameer Abdullah,DET,1,12,63,0,5,5,57,1,18.0,18.0,2016,1
9,Danny Woodhead,SD,1,16,89,0,7,5,31,1,18.0,18.0,2016,1
10,Melvin Gordon,SD,1,14,57,2,0,0,0,0,17.7,17.7,2016,1
11,Matt Forte,NYJ,1,22,96,0,7,5,59,0,15.5,15.5,2016,1
12,Jalen Richard,OAK,1,3,84,1,2,2,11,0,15.5,15.5,2016,1
13,Isaiah Crowell,CLE,1,12,62,1,2,2,16,0,13.8,13.8,2016,1
14,Ryan Mathews,PHI,1,22,77,1,0,0,0,0,13.7,13.7,2016,1
15,Latavius Murray,OAK,1,14,59,1,2,1,13,0,13.2,13.2,2016,1
16,LeGarrette Blount,NE,1,22,70,1,0,0,0,0,13.0,13.0,2016,1
17,LeSean McCoy,BUF,1,16,58,1,4,4,12,0,13.0,13.0,2016,1
18,T.J. Yeldon,JAC,1,21,39,1,6,4,30,0,12.9,12.9,2016,1
19,Jeremy Langford,CHI,1,17,57,1,4,2,6,0,12.3,12.3,2016,1
20,Tevin Coleman,ATL,1,8,22,0,6,5,95,0,11.7,11.7,2016,1
21,Lamar Miller,HOU,1,28,106,0,4,4,11,0,11.7,11.7,2016,1
22,Ezekiel Elliott,DAL,1,20,51,1,2,1,1,0,11.2,11.2,2016,1
23,Charles Sims,TB,1,4,9,0,3,3,32,1,10.1,10.1,2016,1
24,Arian Foster,MIA,1,13,38,0,5,3,62,0,10.0,10.0,2016,1
25,Chris Thompson,WAS,1,4,23,1,2,2,16,0,9.9,9.9,2016,1
26,Shaun Draughn,SF,1,7,18,1,2,2,18,0,9.6,9.6,2016,1
27,Doug Martin,TB,1,18,62,0,5,5,34,0,9.6,9.6,2016,1
28,Jeremy Hill,CIN,1,9,31,1,0,0,0,0,9.1,9.1,2016,1
29,Andy Janovich,DEN,1,1,28,1,0,0,0,0,8.8,8.8,2016,1
30,Mark Ingram,NO,1,12,58,0,2,2,29,0,8.7,8.7,2016,1
31,Frank Gore,IND,1,14,59,0,6,4,19,0,7.8,7.8,2016,1
32,Rashad Jennings,NYG,1,18,75,0,2,1,3,0,7.8,7.8,2016,1
33,Eddie Lacy,GB,1,14,61,0,2,1,17,0,7.8,7.8,2016,1
34,Travaris Cadet,NO,1,1,1,0,7,3,14,1,7.5,7.5,2016,1
35,Christine Michael,SEA,1,15,66,0,4,2,5,0,7.1,7.1,2016,1
