,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week
1,Brandin Cooks,NO,1,9,6,143,2,1,11,0,27.4,27.4,2016,1
2,Antonio Brown,PIT,1,11,8,126,2,0,0,0,24.6,24.6,2016,1
3,A.J. Green,CIN,1,13,12,180,1,0,0,0,24.0,24.0,2016,1
4,Willie Snead,NO,1,9,9,172,1,0,0,0,23.2,23.2,2016,1
5,Larry Fitzgerald,ARI,1,10,8,81,2,0,0,0,20.1,20.1,2016,1
6,Jordan Matthews,PHI,1,14,7,114,1,0,0,0,17.4,17.4,2016,1
7,Will Fuller,HOU,1,11,5,107,1,0,0,0,16.7,16.7,2016,1
8,Mike Wallace,BAL,1,6,3,91,1,1,11,0,16.2,16.2,2016,1
9,Mike Evans,TB,1,7,5,99,1,0,0,0,15.9,15.9,2016,1
10,Doug Baldwin,SEA,1,11,9,92,1,0,0,0,15.2,15.2,2016,1
11,Kelvin Benjamin,CAR,1,12,6,91,1,0,0,0,15.1,15.1,2016,1
12,Mohamed Sanu,ATL,1,8,5,80,1,0,0,0,14.0,14.0,2016,1
13,Amari Cooper,OAK,1,11,6,137,0,0,0,0,13.7,13.7,2016,1
14,Julio Jones,ATL,1,8,4,66,1,0,0,0,12.6,12.6,2016,1
15,Donte Moncrief,IND,1,7,6,64,1,0,0,0,12.4,12.4,2016,1
16,Jeremy Maclin,KC,1,7,5,63,1,1,-1,0,12.2,12.2,2016,1
17,Chris Hogan,NE,1,4,3,60,1,0,0,0,12.0,12.0,2016,1
18,Eli Rogers,PIT,1,7,6,59,1,0,0,0,11.9,11.9,2016,1
19,Nelson Agholor,PHI,1,5,4,57,1,0,0,0,11.7,11.7,2016,1
20,Eddie Royal,CHI,1,6,4,57,1,0,0,0,11.7,11.7,2016,1
21,Quincy Enunwa,NYJ,1,8,7,54,1,0,0,0,11.4,11.4,2016,1
22,DeAndre Hopkins,HOU,1,8,5,54,1,0,0,0,11.4,11.4,2016,1
23,Davante Adams,GB,1,7,3,50,1,0,0,0,11.0,11.0,2016,1
24,Alshon Jeffery,CHI,1,6,4,105,0,0,0,0,10.5,10.5,2016,1
25,Sterling Shepard,NYG,1,4,3,43,1,0,0,0,10.3,10.3,2016,1
26,Stefon Diggs,MIN,1,9,7,103,0,1,-1,0,10.2,10.2,2016,1
27,DeSean Jackson,WAS,1,10,6,102,0,0,0,0,10.2,10.2,2016,1
28,Eric Decker,NYJ,1,7,2,37,1,0,0,0,9.7,9.7,2016,1
29,Victor Cruz,NYG,1,4,4,34,1,0,0,0,9.4,9.4,2016,1
30,Phillip Dorsett,IND,1,6,4,94,0,0,0,0,9.4,9.4,2016,1
31,Jordy Nelson,GB,1,9,6,32,1,0,0,0,9.2,9.2,2016,1
32,Brandon LaFell,CIN,1,4,4,91,0,0,0,0,9.1,9.1,2016,1
33,Michael Crabtree,OAK,1,9,7,87,0,0,0,0,8.7,8.7,2016,1
34,Marvin Jones,DET,1,10,4,85,0,0,0,0,8.5,8.5,2016,1
35,Julian Edelman,NE,1,7,7,66,0,3,16,0,8.2,8.2,2016,1
36,T.Y. Hilton,IND,1,12,6,79,0,0,0,0,7.9,7.9,2016,1
37,Seth Roberts,OAK,1,4,2,19,1,0,0,0,7.9,7.9,2016,1
38,Tajae Sharpe,TEN,1,11,7,76,0,0,0,0,7.6,7.6,2016,1
39,Allen Hurns,JAC,1,5,4,75,0,0,0,0,7.5,7.5,2016,1
40,Odell Beckham Jr.,NYG,1,8,4,73,0,0,0,0,7.3,7.3,2016,1
41,Allen Robinson,JAC,1,15,6,72,0,0,0,0,7.2,7.2,2016,1
42,Tyrell Williams,SD,1,5,2,71,0,0,0,0,7.1,7.1,2016,1
43,Corey Coleman,CLE,1,5,2,69,0,0,0,0,6.9,6.9,2016,1
44,Tyreek Hill,KC,1,1,1,9,1,0,0,0,6.9,6.9,2016,1
45,Randall Cobb,GB,1,8,6,57,0,3,11,0,6.8,6.8,2016,1
46,Terrelle Pryor,CLE,1,7,3,68,0,0,0,0,6.8,6.8,2016,1
47,Kenny Britt,LAR,1,6,4,67,0,0,0,0,6.7,6.7,2016,1
48,Cole Beasley,DAL,1,12,8,65,0,0,0,0,6.5,6.5,2016,1
49,Keenan Allen,SD,1,7,6,63,0,0,0,0,6.3,6.3,2016,1
50,Michael Floyd,ARI,1,7,3,61,0,0,0,0,6.1,6.1,2016,1
1,Stefon Diggs,MIN,1,11,9,182,1,0,0,0,24.2,24.2,2016,2
2,Travis Benjamin,SD,1,6,6,115,2,1,-1,0,23.4,23.4,2016,2
3,Kelvin Benjamin,CAR,1,9,7,108,2,0,0,0,22.8,22.8,2016,2
4,Corey Coleman,CLE,1,8,5,104,2,0,0,0,22.4,22.4,2016,2
5,Eric Decker,NYJ,1,8,6,126,1,0,0,0,18.6,18.6,2016,2
6,DeAndre Hopkins,HOU,1,11,7,113,1,0,0,0,17.3,17.3,2016,2
7,Marquise Goodwin,BUF,1,5,2,112,1,0,0,0,17.2,17.2,2016,2
8,Danny Amendola,NE,1,4,4,50,2,0,0,0,17.0,17.0,2016,2
9,Julio Jones,ATL,1,5,5,106,1,0,0,0,16.6,16.6,2016,2
10,Mike Wallace,BAL,1,6,4,41,2,0,0,0,16.1,16.1,2016,2
11,Greg Salas,BUF,1,5,4,89,1,0,0,0,14.9,14.9,2016,2
12,Larry Fitzgerald,ARI,1,11,6,81,1,0,0,0,14.1,14.1,2016,2
13,Jaron Brown,ARI,1,2,2,78,1,0,0,0,13.8,13.8,2016,2
14,Jarvis Landry,MIA,1,13,10,137,0,0,0,0,13.7,13.7,2016,2
15,Jordy Nelson,GB,1,11,5,73,1,0,0,0,13.3,13.3,2016,2
16,Mike Evans,TB,1,17,6,70,1,0,0,0,13.0,13.0,2016,2
17,Tyrell Williams,SD,1,6,3,61,1,0,0,0,12.1,12.1,2016,2
18,Marvin Jones,DET,1,11,8,118,0,0,0,0,11.8,11.8,2016,2
19,Sterling Shepard,NYG,1,8,8,117,0,0,0,0,11.7,11.7,2016,2
20,Torrey Smith,SF,1,10,3,55,1,0,0,0,11.5,11.5,2016,2
21,Willie Snead,NO,1,8,5,54,1,0,0,0,11.4,11.4,2016,2
22,Anquan Boldin,DET,1,7,4,48,1,0,0,0,10.8,10.8,2016,2
23,DeVante Parker,MIA,1,13,8,106,0,0,0,0,10.6,10.6,2016,2
24,Will Fuller,HOU,1,7,4,104,0,0,0,0,10.4,10.4,2016,2
25,Sammie Coates,PIT,1,5,2,97,0,1,6,0,10.3,10.3,2016,2
