,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
1,Jack Doyle,IND,1,4,3,35,2,15.5,15.5,2016,1
2,Julius Thomas,JAC,1,5,5,64,1,12.4,12.4,2016,1
3,Dwayne Allen,IND,1,6,4,53,1,11.3,11.3,2016,1
4,Eric Ebron,DET,1,5,5,46,1,10.6,10.6,2016,1
5,Austin Seferian-Jenkins,TB,1,1,1,30,1,9.0,9.0,2016,1
6,Larry Donnell,NYG,1,2,1,15,1,7.5,7.5,2016,1
7,Travis Kelce,KC,1,7,6,74,0,7.4,7.4,2016,1
8,Vance McDonald,SF,1,3,2,14,1,7.4,7.4,2016,1
9,Greg Olsen,CAR,1,9,7,73,0,7.3,7.3,2016,1
10,Jason Witten,DAL,1,14,9,66,0,6.6,6.6,2016,1
11,Kyle Rudolph,MIN,1,8,4,65,0,6.5,6.5,2016,1
12,Brandon Myers,TB,1,1,1,4,1,6.4,6.4,2016,1
13,Jordan Reed,WAS,1,11,7,64,0,6.4,6.4,2016,1
14,C.J. Uzomah,CIN,1,5,2,59,0,5.9,5.9,2016,1
15,Zach Ertz,PHI,1,7,6,58,0,5.8,5.8,2016,1
16,Jacob Tamme,ATL,1,8,6,51,0,5.1,5.1,2016,1
17,Marcedes Lewis,JAC,1,2,2,48,0,4.8,4.8,2016,1
18,Delanie Walker,TEN,1,5,3,42,0,4.2,4.2,2016,1
19,Jermaine Gresham,ARI,1,4,4,41,0,4.1,4.1,2016,1
20,Charles Clay,BUF,1,3,2,40,0,4.0,4.0,2016,1
21,Dennis Pitta,BAL,1,4,3,39,0,3.9,3.9,2016,1
22,Jesse James,PIT,1,7,5,31,0,3.1,3.1,2016,1
23,Cameron Brate,TB,1,4,3,30,0,3.0,3.0,2016,1
24,Virgil Green,DEN,1,5,4,28,0,2.8,2.8,2016,1
25,Luke Willson,SEA,1,4,2,26,0,2.6,2.6,2016,1
26,Stephen Anderson,HOU,1,3,3,25,0,2.5,2.5,2016,1
27,Clive Walford,OAK,1,5,3,25,0,2.5,2.5,2016,1
28,Richard Rodgers,GB,1,3,1,22,0,2.2,2.2,2016,1
29,Geoff Swaim,DAL,1,1,1,21,0,2.1,2.1,2016,1
30,Vernon Davis,WAS,1,1,1,20,0,2.0,2.0,2016,1
31,Antonio Gates,SD,1,4,3,20,0,2.0,2.0,2016,1
32,Demetrius Harris,KC,1,3,2,20,0,2.0,2.0,2016,1
33,Hunter Henry,SD,1,2,1,20,0,2.0,2.0,2016,1
34,Ryan Griffin,HOU,1,2,2,17,0,1.7,1.7,2016,1
35,Will Tye,NYG,1,3,3,16,0,1.6,1.6,2016,1
36,Garrett Celek,SF,1,4,1,15,0,1.5,1.5,2016,1
37,Lance Kendricks,LAR,1,3,2,15,0,1.5,1.5,2016,1
38,Martellus Bennett,NE,1,5,3,14,0,1.4,1.4,2016,1
39,Austin Hooper,ATL,1,1,1,14,0,1.4,1.4,2016,1
40,Zach Miller,CHI,1,4,3,14,0,1.4,1.4,2016,1
