,name,injury,status,position,season,week
0,"Green, Ladarius",concussion,Day-to-Day,TE,2015,1
6,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,1
13,"Turbin, Robert",ankle,Out,RB,2015,1
15,"Clay, Charles",knee,Probable,TE,2015,1
19,"McCoy, LeSean",hamstring,Probable,RB,2015,1
27,"Henry, Mitchell",finger,Probable,TE,2015,1
40,"Harris, Demetrius",foot,Probable,TE,2015,1
41,"Kelce, Travis",ankle,Probable,TE,2015,1
53,"Foster, Arian",groin,Out,RB,2015,1
59,"Brockel, Richie",shoulder,Out,TE,2015,1
68,"Gerhart, Toby",abdomen,Questionable,RB,2015,1
69,"Ivory, Chris",knee,Probable,RB,2015,1
73,"Thomas, Julius",hand,Out,TE,2015,1
75,"Yeldon, T.J.",sprained finger left hand,Day-to-Day,RB,2015,1
82,"Johnson Jr., Duke",concussion,Probable,RB,2015,1
91,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,1
104,"Helfet, Cooper",knee,Probable,TE,2015,1
109,"Gurley, Todd",knee,Out,RB,2015,1
111,"Mason, Tre",thigh,Questionable,RB,2015,1
112,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,1
118,"James, LaMichael",shoulder,Probable,RB,2015,1
125,"Ballard, Vick",hamstring,Out,RB,2015,1
128,"Hightower, Tim",knee,Probable,RB,2015,1
131,"Spiller, C.J.",knee,Out,RB,2015,1
133,"Ellington, Andre",knee,Day-to-Day,RB,2015,1
135,"Gresham, Jermaine",hamstring,Questionable,TE,2015,1
137,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,1
138,"Niklas, Troy",hamstring,Questionable,TE,2015,1
140,"Bell, Joique",knee,Day-to-Day,RB,2015,1
143,"Ebron, Eric",ankle,Probable,TE,2015,1
160,"Pitta, Dennis",hip,Day-to-Day,TE,2015,1
162,"Taliaferro, Lorenzo",knee,Out,RB,2015,1
181,"Walford, Clive",knee,Probable,TE,2015,1
182,"Andrews, Antonio",hamstring,Questionable,RB,2015,1
183,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,1
203,"Hanna, James",knee,Probable,TE,2015,1
211,"Ertz, Zach",groin,Questionable,TE,2015,1
213,"Coleman, Tevin",hamstring,Day-to-Day,RB,2015,1
214,"Freeman, Devonta",hamstring,Probable,RB,2015,1
221,"Line, Zach",knee,Probable,RB,2015,1
223,"Pruitt, MyCole",ankle,Probable,TE,2015,1
0,"Anderson, C.J.","ankle, toe",Questionable,RB,2015,2
13,"Harris, Demetrius",foot,Probable,TE,2015,2
14,"Kelce, Travis",hip,Probable,TE,2015,2
19,"West, Charcandrick",Achilles,Probable,RB,2015,2
33,"McCoy, LeSean",hamstring,Questionable,RB,2015,2
40,"Foster, Arian",groin,Out,RB,2015,2
41,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,2
43,"Miller, Lamar",ankle,Day-to-Day,RB,2015,2
48,"Brockel, Richie",shoulder,Questionable,TE,2015,2
54,"Stewart, Jonathan",knee,Probable,RB,2015,2
57,"Ellington, Andre",knee,Out,RB,2015,2
59,"Gresham, Jermaine",hamstring,Probable,TE,2015,2
62,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,2
63,"Niklas, Troy",hamstring,Probable,TE,2015,2
86,"Andrews, Antonio",hamstring,Out,RB,2015,2
87,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,2
92,"Walker, Delanie",hand,Questionable,TE,2015,2
103,"Bell, Joique",knee,Day-to-Day,RB,2015,2
107,"Pettigrew, Brandon",hamstring,Out,TE,2015,2
116,"McKinnon, Jerick",ankle,Probable,RB,2015,2
128,"Cadet, Travaris",hamstring,Probable,RB,2015,2
132,"Spiller, C.J.",knee,Questionable,RB,2015,2
134,"Coleman, Tevin",hamstring,Day-to-Day,RB,2015,2
136,"Freeman, Devonta",hamstring,Day-to-Day,RB,2015,2
148,"Fells, Daniel",foot,Out,TE,2015,2
156,"Bush, Reggie",calf,Out,RB,2015,2
160,"Green, Ladarius",concussion,Day-to-Day,TE,2015,2
168,"Gurley, Todd",knee,Questionable,RB,2015,2
170,"Mason, Tre",thigh,Questionable,RB,2015,2
171,"Reynolds, Chase",knee,Out,RB,2015,2
178,"Reed, Jordan",quadriceps,Questionable,TE,2015,2
182,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,2
187,"Cameron, Jordan",groin,Day-to-Day,TE,2015,2
190,"Sims, Dion",concussion,Out,TE,2015,2
195,"Gerhart, Toby",abdomen,Doubtful,RB,2015,2
198,"Ivory, Chris",groin,Day-to-Day,RB,2015,2
202,"Thomas, Julius",hand,Out,TE,2015,2
203,"Yeldon, T.J.",sprained finger left hand,Day-to-Day,RB,2015,2
205,"Forsett, Justin",shoulder,Probable,RB,2015,2
210,"Pitta, Dennis",hip,Day-to-Day,TE,2015,2
212,"Taliaferro, Lorenzo",knee,Probable,RB,2015,2
220,"Olawale, Jamize",ankle,Out,RB,2015,2
224,"Hanna, James",knee,Questionable,TE,2015,2
234,"Lynch, Marshawn",not injury related,Probable,RB,2015,2
237,"Tukuafu, Will",foot,Questionable,RB,2015,2
243,"Lacy, Eddie",ankle,Day-to-Day,RB,2015,2
