,name,injury,status,position,season,week
0,"Heuerman, Jeff",ankle,Questionable,TE,2016,1
1,"Stocker, Luke",back,Questionable,TE,2016,1
2,"Ward, Terron",ankle,Questionable,RB,2016,1
3,"Williams, Jonathan",ribs,Questionable,RB,2016,1
4,"Dixon, Kenneth",knee,Out,RB,2016,1
5,"Pitta, Dennis",finger,Questionable,TE,2016,1
6,"Williams, Maxx",knee,Questionable,TE,2016,1
7,"Lasike, Paul",wrist,Questionable,RB,2016,1
8,"Perillo, Justin",knee,Questionable,TE,2016,1
9,"Pruitt, MyCole",knee,Out,TE,2016,1
10,"Ivory, Chris",calf,Questionable,RB,2016,1
11,"Charles, Jamaal",knee,Doubtful,RB,2016,1
12,"Eifert, Tyler",ankle,Out,TE,2016,1
13,"Burton, Trey",calf,Questionable,TE,2016,1
14,"McKinnon, Jerick",foot,Questionable,RB,2016,1
15,"Ajayi, Jay",not injury related,Out,RB,2016,1
16,"Pead, Isaiah",hamstring,Questionable,RB,2016,1
17,"Graham, Jimmy",knee,Questionable,TE,2016,1
18,"Vannett, Nick",ankle,Out,TE,2016,1
19,"Ebron, Eric",ankle,Questionable,TE,2016,1
20,"Gronkowski, Rob",hamstring,Questionable,TE,2016,1
21,"Taylor, Stepfan",knee,Questionable,RB,2016,1
22,"Nix, Roosevelt",back,Out,RB,2016,1
23,"Jones, Matt",shoulder,Questionable,RB,2016,1
0,"Clay, Charles",knee,Questionable,TE,2016,2
1,"Stewart, Jonathan",ankle,Questionable,RB,2016,2
2,"Dixon, Kenneth",knee,Out,RB,2016,2
3,"Woodhead, Danny",knee,Day-to-Day,RB,2016,2
4,"Wick, Cole",shoulder,Questionable,TE,2016,2
5,"Charles, Jamaal",knee,Doubtful,RB,2016,2
6,"Cameron, Jordan",thigh,Questionable,TE,2016,2
7,"Foster, Arian",hamstring,Questionable,RB,2016,2
8,"Gronkowski, Rob",hamstring,Questionable,TE,2016,2
9,"Hill, Josh",ankle,Out,TE,2016,2
10,"Eifert, Tyler",ankle,Out,TE,2016,2
11,"Nix, Roosevelt",back,Out,RB,2016,2
12,"Swaim, Geoff",ankle,Questionable,TE,2016,2
13,"Martin, Doug",hamstring,Day-to-Day,RB,2016,2
14,"Taylor, Stepfan",knee,Questionable,RB,2016,2
15,"Prosise, C.J.",wrist,Questionable,RB,2016,2
16,"Rawls, Thomas",Leg contusion,Day-to-Day,RB,2016,2
17,"Vannett, Nick",ankle,Out,TE,2016,2
18,"Gurley, Todd",not injury related,Questionable,RB,2016,2
19,"Green, Virgil",calf,Day-to-Day,TE,2016,2
20,"Jones, Taiwan",concussion,Questionable,RB,2016,2
21,"Ivory, Chris",general medical issue,Out,RB,2016,2
22,"Ertz, Zach",rib,Out,TE,2016,2
0,"Gronkowski, Rob",hamstring,Questionable,TE,2016,3
1,"Clay, Charles",knee,Questionable,TE,2016,3
2,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,3
3,"Stewart, Jonathan",hamstring,Out,RB,2016,3
4,"Green, Virgil",calf,Out,TE,2016,3
5,"Eifert, Tyler",ankle,Doubtful,TE,2016,3
6,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,3
7,"Ebron, Eric",back,Questionable,TE,2016,3
8,"Dixon, Kenneth",knee,Out,RB,2016,3
9,"Ivory, Chris",general medical issue,Questionable,RB,2016,3
10,"Koyack, Ben",knee,Out,TE,2016,3
11,"Foster, Arian",groin,Out,RB,2016,3
12,"Jones, Taiwan",knee,Questionable,RB,2016,3
13,"Walker, Delanie",hamstring,Questionable,TE,2016,3
14,"Prosise, C.J.",wrist,Questionable,RB,2016,3
15,"Rawls, Thomas",shin,Doubtful,RB,2016,3
16,"Vannett, Nick",ankle,Doubtful,TE,2016,3
17,"Martin, Doug",hamstring,Out,RB,2016,3
18,"Stocker, Luke",ankle,Out,TE,2016,3
19,"Gates, Antonio",hamstring,Doubtful,TE,2016,3
20,"Charles, Jamaal",knee,Doubtful,RB,2016,3
21,"Nix, Roosevelt",back,Doubtful,RB,2016,3
22,"Ertz, Zach",rib,Out,TE,2016,3
23,"Carey, Ka'Deem",hamstring,Doubtful,RB,2016,3
24,"Cunningham, Benny",knee,Questionable,RB,2016,3
25,"Pruitt, MyCole",knee,Questionable,TE,2016,3
26,"Hill, Josh",ankle,Questionable,TE,2016,3
0,"Cameron, Jordan",concussion,Out,TE,2016,4
1,"Foster, Arian",hamstring,Out,RB,2016,4
2,"Eifert, Tyler",ankle,Doubtful,TE,2016,4
3,"Koyack, Ben",knee,Out,TE,2016,4
4,"Stewart, Jonathan",hamstring,Out,RB,2016,4
5,"Jones, Taiwan",knee,Questionable,RB,2016,4
6,"Dixon, Kenneth",knee,Doubtful,RB,2016,4
7,"Walker, Delanie",hamstring,Questionable,TE,2016,4
8,"Anderson, Stephen",hamstring,Out,TE,2016,4
9,"Grimes, Jonathan",ankle,Out,RB,2016,4
10,"Clay, Charles",knee,Questionable,TE,2016,4
11,"Gronkowski, Rob",hamstring,Questionable,TE,2016,4
12,"Graham, Jimmy","knee, back",Questionable,TE,2016,4
13,"Prosise, C.J.",wrist,Questionable,RB,2016,4
14,"Rawls, Thomas",fibula,Out,RB,2016,4
15,"Vannett, Nick",ankle,Questionable,TE,2016,4
16,"DeValve, Seth",knee,Out,TE,2016,4
17,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,4
18,"Ebron, Eric",ankle,Questionable,TE,2016,4
19,"Washington, Dwayne",ankle,Day-to-Day,RB,2016,4
20,"Carey, Ka'Deem",hamstring,Doubtful,RB,2016,4
21,"Langford, Jeremy",ankle,Doubtful,RB,2016,4
22,"Green, Virgil",calf,Out,TE,2016,4
23,"Martin, Doug",hamstring,Out,RB,2016,4
24,"Stocker, Luke",ankle,Out,TE,2016,4
25,"Johnson, Chris",groin,Day-to-Day,RB,2016,4
26,"Hill, Josh",ankle,Out,TE,2016,4
27,"Gates, Antonio",hamstring,Doubtful,TE,2016,4
28,"Celek, Garrett",back,Questionable,TE,2016,4
29,"McDonald, Vance",hip,Questionable,TE,2016,4
30,"Charles, Jamaal",knee,Questionable,RB,2016,4
31,"West, Charcandrick",ankle,Out,RB,2016,4
32,"Nix, Roosevelt",back,Out,RB,2016,4
33,"Jennings, Rashad",thumb,Questionable,RB,2016,4
34,"Morgan, David",knee,Out,TE,2016,4
35,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,4
0,"McDonald, Vance",hip,Questionable,TE,2016,5
1,"Dixon, Kenneth",knee,Questionable,RB,2016,5
2,"Blount, LeGarrette",hip,Questionable,RB,2016,5
3,"Bolden, Brandon",knee,Out,RB,2016,5
4,"Burkhead, Rex",hamstring,Questionable,RB,2016,5
5,"Gronkowski, Rob",hamstring,Questionable,TE,2016,5
6,"DeValve, Seth",knee,Out,TE,2016,5
7,"Telfer, Randall",ankle,Out,TE,2016,5
8,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,5
9,"Ebron, Eric","ankle, knee",Out,TE,2016,5
10,"Washington, Dwayne",ankle,Doubtful,RB,2016,5
11,"Carey, Ka'Deem",hamstring,Questionable,RB,2016,5
12,"Cunningham, Benny",thigh,Questionable,RB,2016,5
13,"Langford, Jeremy",ankle,Doubtful,RB,2016,5
14,"Miller, Zach",ribs,Questionable,TE,2016,5
15,"Turbin, Robert","wrist, shoulder",Questionable,RB,2016,5
16,"Amaro, Jace",shoulder,Questionable,TE,2016,5
17,"Cameron, Jordan",concussion,Out,TE,2016,5
18,"Foster, Arian",hamstring,Doubtful,RB,2016,5
19,"Anderson, Stephen",hamstring,Out,TE,2016,5
20,"Grimes, Jonathan",ankle,Out,RB,2016,5
21,"Morgan, David",knee,Out,TE,2016,5
22,"Murray, Latavius",toe,Out,RB,2016,5
23,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,5
24,"Bowman, Braedon",knee,Out,TE,2016,5
25,"Nix, Roosevelt",back,Out,RB,2016,5
26,"Green, Virgil",calf,Questionable,TE,2016,5
27,"Eifert, Tyler","back, ankle",Out,TE,2016,5
28,"Clay, Charles",knee,Questionable,TE,2016,5
29,"Felton, Jerome",back,Questionable,RB,2016,5
30,"McCoy, LeSean",hand,Questionable,RB,2016,5
31,"Dunbar, Lance",knee,Questionable,RB,2016,5
32,"Gates, Antonio",hamstring,Questionable,TE,2016,5
33,"Cook, Jared",ankle,Out,TE,2016,5
34,"Jones, Taiwan",knee,Questionable,RB,2016,5
35,"Walford, Clive",knee,Questionable,TE,2016,5
36,"Donnell, Larry",concussion,Out,TE,2016,5
37,"Ellison, Rhett",knee,Doubtful,TE,2016,5
38,"Jennings, Rashad",thumb,Questionable,RB,2016,5
39,"Martin, Doug",hamstring,Doubtful,RB,2016,5
40,"Myers, Brandon",hip,Questionable,TE,2016,5
41,"Sims, Charles",knee,Doubtful,RB,2016,5
42,"Stocker, Luke",ankle,Doubtful,TE,2016,5
43,"Stewart, Jonathan",hamstring,Out,RB,2016,5
0,"Green, Virgil",calf,Day-to-Day,TE,2016,6
1,"McCluster, Dexter",hamstring,Questionable,RB,2016,6
2,"Clay, Charles",knee,Questionable,TE,2016,6
3,"Grant, Corey",toe,Questionable,RB,2016,6
4,"Sterling, Neal",foot,Questionable,TE,2016,6
5,"Carey, Ka'Deem",hamstring,Questionable,RB,2016,6
6,"Langford, Jeremy",ankle,Doubtful,RB,2016,6
7,"Miller, Zach",ribs,Questionable,TE,2016,6
8,"Dunbar, Lance",knee,Questionable,RB,2016,6
9,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,6
10,"Ebron, Eric","ankle, knee",Out,TE,2016,6
11,"Riddick, Theo",ankle,Out,RB,2016,6
12,"Washington, Dwayne",ankle,Questionable,RB,2016,6
13,"Cameron, Jordan",concussion,Out,TE,2016,6
14,"Foster, Arian",hamstring,Questionable,RB,2016,6
15,"Gray, MarQueis",calf,Questionable,TE,2016,6
16,"Eifert, Tyler","back, ankle",Out,TE,2016,6
17,"Blount, LeGarrette",hip,Questionable,RB,2016,6
18,"Bolden, Brandon",knee,Questionable,RB,2016,6
19,"Gronkowski, Rob","hamstring, illness",Questionable,TE,2016,6
20,"Scruggs, Greg",knee,Out,TE,2016,6
21,"Stewart, Jonathan",hamstring,Questionable,RB,2016,6
22,"Hill, Josh",ankle,Questionable,TE,2016,6
23,"Jennings, Rashad",thumb,Questionable,RB,2016,6
24,"Reed, Jordan",concussion,Questionable,TE,2016,6
25,"Barnidge, Gary","forearm, hip",Questionable,TE,2016,6
26,"DeValve, Seth",knee,Out,TE,2016,6
27,"Telfer, Randall",ankle,Out,TE,2016,6
28,"Cook, Jared",ankle,Out,TE,2016,6
29,"Jones, Taiwan",knee,Questionable,RB,2016,6
30,"Walford, Clive",knee,Questionable,TE,2016,6
31,"Witten, Jason",chest,Questionable,TE,2016,6
32,"Bennett, Martellus",ankle,Questionable,TE,2016,6
33,"Starks, James",knee,Questionable,RB,2016,6
34,"Lacy, Eddie",ankle,Questionable,RB,2016,6
35,"Prosise, C.J.",wrist,Questionable,RB,2016,6
36,"Rawls, Thomas",fibula,Out,RB,2016,6
37,"Anderson, Stephen",hamstring,Out,TE,2016,6
38,"Grimes, Jonathan",ankle,Out,RB,2016,6
39,"Seferian-Jenkins, Austin",ankle,Questionable,TE,2016,6
0,"Carey, Ka'Deem",hamstring,Questionable,RB,2016,7
1,"Langford, Jeremy",ankle,Doubtful,RB,2016,7
2,"Miller, Zach",ribs,Questionable,TE,2016,7
3,"Starks, James",knee,Out,RB,2016,7
4,"DeValve, Seth",knee,Out,TE,2016,7
5,"Telfer, Randall",ankle,Questionable,TE,2016,7
6,"Eifert, Tyler","back, ankle",Questionable,TE,2016,7
7,"Reed, Jordan",concussion,Out,TE,2016,7
8,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,7
9,"Ebron, Eric","ankle, knee",Out,TE,2016,7
10,"Riddick, Theo",ankle,Out,RB,2016,7
11,"Washington, Dwayne",ankle,Questionable,RB,2016,7
12,"Jones, Taiwan",knee,Questionable,RB,2016,7
13,"Sterling, Neal",foot,Questionable,TE,2016,7
14,"Lasco, Daniel",hamstring,Out,RB,2016,7
15,"Charles, Jamaal",knee,Questionable,RB,2016,7
16,"Clay, Charles",ankle,Questionable,TE,2016,7
17,"Felton, Jerome",back,Questionable,RB,2016,7
18,"McCoy, LeSean",hamstring,Questionable,RB,2016,7
19,"Cameron, Jordan",concussion,Out,TE,2016,7
20,"Foster, Arian",hamstring,Questionable,RB,2016,7
21,"Thomas, Julius",ankle,Questionable,TE,2016,7
22,"Bowman, Braedon",knee,Out,TE,2016,7
23,"Seferian-Jenkins, Austin",ankle,Out,TE,2016,7
24,"Murray, Latavius",toe,Questionable,RB,2016,7
25,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,7
26,"Martin, Doug",hamstring,Out,RB,2016,7
27,"Stocker, Luke",ankle,Questionable,TE,2016,7
28,"Hyde, Carlos",shoulder,Out,RB,2016,7
29,"Allen, Dwayne",ankle,Out,TE,2016,7
30,"Bolden, Brandon",knee,Questionable,RB,2016,7
31,"Williams, DeAngelo",knee,Out,RB,2016,7
32,"Rawls, Thomas",fibula,Out,RB,2016,7
33,"Willson, Luke",knee,Out,TE,2016,7
34,"Green, Virgil",calf,Day-to-Day,TE,2016,7
0,"Davis, Vernon",groin,Questionable,TE,2016,8
1,"Jones, Matt",knee,Out,RB,2016,8
2,"Reed, Jordan",concussion,Questionable,TE,2016,8
3,"Allen, Dwayne",ankle,Out,TE,2016,8
4,"Bolden, Brandon",knee,Questionable,RB,2016,8
5,"Clay, Charles",knee,Questionable,TE,2016,8
6,"Gillislee, Mike",foot,Questionable,RB,2016,8
7,"McCoy, LeSean",hamstring,Doubtful,RB,2016,8
8,"Seferian-Jenkins, Austin",ankle,Doubtful,TE,2016,8
9,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,8
10,"Ebron, Eric","ankle, knee",Questionable,TE,2016,8
11,"Fells, Darren",ankle,Out,TE,2016,8
12,"Washington, Dwayne",ankle,Day-to-Day,RB,2016,8
13,"Wick, Cole",knee,Questionable,TE,2016,8
14,"Grimes, Jonathan",ankle,Questionable,RB,2016,8
15,"Miller, Lamar",shoulder,Questionable,RB,2016,8
16,"Charles, Jamaal",knee,Out,RB,2016,8
17,"Rawls, Thomas",fibula,Out,RB,2016,8
18,"Willson, Luke",knee,Out,TE,2016,8
19,"Lasco, Daniel",hamstring,Questionable,RB,2016,8
20,"Cook, Jared",ankle,Out,TE,2016,8
21,"Jones, Taiwan",knee,Questionable,RB,2016,8
22,"Martin, Doug",hamstring,Out,RB,2016,8
23,"Stewart, Jonathan",hamstring,Day-to-Day,RB,2016,8
24,"Henry, Hunter",concussion,Questionable,TE,2016,8
25,"Anderson, C.J.",knee,Out,RB,2016,8
26,"Green, Virgil",calf,Day-to-Day,TE,2016,8
27,"Bennett, Martellus",ankle,Questionable,TE,2016,8
28,"Montgomery, Ty",illness,Questionable,RB,2016,8
29,"Starks, James",knee,Out,RB,2016,8
30,"Coleman, Tevin",hamstring,Out,RB,2016,8
31,"Witten, Jason",chest,Questionable,TE,2016,8
32,"McKinnon, Jerick",ankle,Out,RB,2016,8
33,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,8
34,"Langford, Jeremy",ankle,Questionable,RB,2016,8
35,"Pruitt, MyCole",knee,Questionable,TE,2016,8
0,"Coleman, Tevin",hamstring,Out,RB,2016,9
1,"Tamme, Jacob",shoulder,Out,TE,2016,9
2,"Martin, Doug",hamstring,Out,RB,2016,9
3,"Rodgers, Jacquizz",foot,Out,RB,2016,9
4,"Williams, DeAngelo",knee,Questionable,RB,2016,9
5,"Gillmore, Crockett",thigh,Out,TE,2016,9
6,"Ware, Spencer",concussion,Out,RB,2016,9
7,"Davis, Kellen",elbow,Out,TE,2016,9
8,"Foster, Arian",groin,Day-to-Day,RB,2016,9
9,"Abdullah, Ameer",foot,Day-to-Day,RB,2016,9
10,"Riddick, Theo",ankle,Questionable,RB,2016,9
11,"Washington, Dwayne",ankle,Day-to-Day,RB,2016,9
12,"McKinnon, Jerick",ankle,Questionable,RB,2016,9
13,"Peterson, Adrian",torn right meniscus,Day-to-Day,RB,2016,9
14,"Rainey, Bobby",calf,Questionable,RB,2016,9
15,"Stewart, Jonathan",hamstring,Day-to-Day,RB,2016,9
16,"Dunbar, Lance",knee,Questionable,RB,2016,9
17,"Lasco, Daniel",hamstring,Out,RB,2016,9
18,"Hyde, Carlos",shoulder,Questionable,RB,2016,9
19,"Starks, James",knee,Out,RB,2016,9
20,"Walker, Delanie",groin,Questionable,TE,2016,9
21,"Henry, Hunter",knee,Out,TE,2016,9
22,"Green, Virgil",calf,Day-to-Day,TE,2016,9
23,"Cook, Jared",ankle,Out,TE,2016,9
24,"Jones, Taiwan",knee,Questionable,RB,2016,9
25,"Olawale, Jamize",ankle,Questionable,RB,2016,9
26,"Bush, Reggie",groin,Questionable,RB,2016,9
27,"Clay, Charles",knee,Questionable,TE,2016,9
28,"McCoy, LeSean",hamstring,Questionable,RB,2016,9
29,"Rawls, Thomas",fibula,Out,RB,2016,9
30,"Willson, Luke",knee,Out,TE,2016,9
0,"Dixon, Kenneth",chest,Questionable,RB,2016,10
1,"Gillmore, Crockett",thigh,Out,TE,2016,10
2,"Stewart, Jonathan",hamstring,Day-to-Day,RB,2016,10
3,"Grimes, Jonathan",illness,Questionable,RB,2016,10
4,"Green, Virgil",calf,Day-to-Day,TE,2016,10
5,"Lasco, Daniel",hamstring,Questionable,RB,2016,10
6,"Gurley, Todd",thigh,Questionable,RB,2016,10
7,"Coleman, Tevin",hamstring,Out,RB,2016,10
8,"Tamme, Jacob",shoulder,Out,TE,2016,10
9,"Burton, Trey",hamstring,Questionable,TE,2016,10
10,"Celek, Brent",ribs,Questionable,TE,2016,10
11,"Sims, Dion",concussion,Questionable,TE,2016,10
12,"Martin, Doug",hamstring,Questionable,RB,2016,10
