,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
1,Mark Ingram,NO,1,21,131,3,0,0,0,0,31.1,31.1,2017,10
2,DeMarco Murray,TEN,1,14,42,2,4,4,30,1,25.2,25.2,2017,10
3,Austin Ekeler,LAC,1,10,42,0,5,5,77,2,23.9,23.9,2017,10
4,Alvin Kamara,NO,1,12,106,1,5,5,32,0,19.8,19.8,2017,10
5,Christian McCaffrey,CAR,1,5,23,1,7,3,27,1,17.0,17.0,2017,10
6,Isaiah Crowell,CLE,1,16,90,1,2,1,5,0,15.5,15.5,2017,10
7,Kenyan Drake,MIA,1,7,82,1,2,2,10,0,15.2,15.2,2017,10
8,Tevin Coleman,ATL,1,20,83,1,1,1,5,0,14.8,14.8,2017,10
9,Todd Gurley,LAR,1,11,68,0,7,6,68,0,13.6,13.6,2017,10
10,Cameron Artis-Payne,CAR,1,7,68,1,0,0,0,0,12.8,12.8,2017,10
11,Ty Montgomery,GB,1,6,54,1,2,2,14,0,12.8,12.8,2017,10
12,Latavius Murray,MIN,1,17,68,1,0,0,0,0,12.8,12.8,2017,10
13,Rex Burkhead,NE,1,10,36,0,3,3,27,1,12.3,12.3,2017,10
14,Matt Breida,SF,1,9,55,1,2,1,3,0,11.8,11.8,2017,10
15,Corey Grant,JAC,1,1,56,1,0,0,0,0,11.6,11.6,2017,10
16,Ameer Abdullah,DET,1,11,52,1,2,1,3,0,11.5,11.5,2017,10
17,Dion Lewis,NE,1,14,55,1,0,0,0,0,11.5,11.5,2017,10
18,Le'Veon Bell,PIT,1,26,80,0,6,5,32,0,11.2,11.2,2017,10
19,Jonathan Stewart,CAR,1,17,110,0,0,0,0,0,11.0,11.0,2017,10
20,Trey Edmunds,NO,1,9,48,1,0,0,0,0,10.8,10.8,2017,10
21,Theo Riddick,DET,1,4,35,0,3,3,12,1,10.7,10.7,2017,10
22,Carlos Hyde,SF,1,17,98,0,3,2,6,0,10.4,10.4,2017,10
23,Joe Mixon,CIN,1,9,37,1,3,1,3,0,10.0,10.0,2017,10
24,Andre Ellington,ARI,1,2,4,1,6,3,26,0,9.0,9.0,2017,10
25,Charles Sims,TB,1,3,20,0,4,3,10,1,9.0,9.0,2017,10
26,Orleans Darkwa,NYG,1,14,70,0,2,2,18,0,8.8,8.8,2017,10
27,Duke Johnson,CLE,1,10,54,0,6,6,34,0,8.8,8.8,2017,10
28,James White,NE,1,2,7,0,3,3,11,1,7.8,7.8,2017,10
29,Lamar Miller,HOU,1,11,60,0,1,1,14,0,7.4,7.4,2017,10
30,Jamaal Williams,GB,1,20,67,0,1,1,7,0,7.4,7.4,2017,10
31,Chris Thompson,WAS,1,9,26,0,7,3,41,0,6.7,6.7,2017,10
32,Frank Gore,IND,1,17,54,0,1,1,7,0,6.1,6.1,2017,10
33,LeSean McCoy,BUF,1,8,49,0,5,3,11,0,6.0,6.0,2017,10
34,Samaje Perine,WAS,1,9,35,0,1,1,25,0,6.0,6.0,2017,10
35,Elijah McGuire,NYJ,1,8,22,0,7,4,36,0,5.8,5.8,2017,10
36,C.J. Anderson,DEN,1,10,54,0,1,1,1,0,5.5,5.5,2017,10
37,Jordan Howard,CHI,1,15,54,0,0,0,0,0,5.4,5.4,2017,10
38,Alfred Morris,DAL,1,11,53,0,0,0,0,0,5.3,5.3,2017,10
39,Derrick Henry,TEN,1,11,52,0,3,0,0,0,5.2,5.2,2017,10
40,Doug Martin,TB,1,20,51,0,2,0,0,0,5.1,5.1,2017,10
41,T.J. Yeldon,JAC,1,3,11,0,8,6,39,0,5.0,5.0,2017,10
42,Giovani Bernard,CIN,1,2,10,0,5,5,38,0,4.8,4.8,2017,10
43,Jerick McKinnon,MIN,1,10,32,0,2,2,15,0,4.7,4.7,2017,10
44,Leonard Fournette,JAC,1,17,33,0,4,2,13,0,4.6,4.6,2017,10
45,J.D. McKissic,SEA,1,5,26,0,5,4,20,0,4.6,4.6,2017,10
46,Melvin Gordon,LAC,1,16,27,0,8,5,15,0,4.2,4.2,2017,10
47,Adrian Peterson,ARI,1,21,29,0,2,1,13,0,4.2,4.2,2017,10
48,Thomas Rawls,SEA,1,10,27,0,2,2,12,0,3.9,3.9,2017,10
49,Damien Williams,MIA,1,9,19,0,3,2,20,0,3.9,3.9,2017,10
50,Jamaal Charles,DEN,1,8,38,0,1,0,0,0,3.8,3.8,2017,10
1,LeSean McCoy,BUF,1,13,114,1,1,1,12,1,24.6,24.6,2017,11
2,Latavius Murray,MIN,1,15,95,2,2,1,1,0,21.6,21.6,2017,11
3,Mark Ingram,NO,1,11,134,1,4,3,21,0,21.5,21.5,2017,11
4,D'Onta Foreman,HOU,1,10,65,2,3,3,15,0,20.0,20.0,2017,11
5,Samaje Perine,WAS,1,23,117,1,2,1,9,0,18.6,18.6,2017,11
6,Jordan Howard,CHI,1,15,125,1,0,0,0,0,18.5,18.5,2017,11
7,Alvin Kamara,NO,1,8,42,0,9,6,74,1,17.6,17.6,2017,11
8,Orleans Darkwa,NYG,1,20,74,1,4,2,16,0,15.0,15.0,2017,11
9,Dion Lewis,NE,1,10,60,0,4,4,28,1,14.8,14.8,2017,11
10,Lamar Miller,HOU,1,22,61,0,5,4,22,1,14.3,14.3,2017,11
11,Melvin Gordon,LAC,1,20,80,1,2,0,0,0,14.0,14.0,2017,11
12,Alex Collins,BAL,1,20,49,1,7,4,22,0,13.1,13.1,2017,11
13,Duke Johnson,CLE,1,2,10,0,6,4,56,1,12.6,12.6,2017,11
14,Tarik Cohen,CHI,1,9,44,1,6,4,15,0,11.9,11.9,2017,11
15,Tevin Coleman,ATL,1,20,43,1,2,1,15,0,11.8,11.8,2017,11
16,Austin Ekeler,LAC,1,6,40,1,2,2,18,0,11.8,11.8,2017,11
17,Leonard Fournette,JAC,1,28,111,0,3,2,7,0,11.8,11.8,2017,11
18,C.J. Anderson,DEN,1,13,37,1,3,2,19,0,11.6,11.6,2017,11
19,Todd Gurley,LAR,1,15,37,1,4,3,19,0,11.6,11.6,2017,11
20,Corey Clement,PHI,1,6,50,1,0,0,0,0,11.0,11.0,2017,11
21,Le'Veon Bell,PIT,1,12,46,0,11,9,57,0,10.3,10.3,2017,11
22,Damien Williams,MIA,1,10,78,0,1,1,24,0,10.2,10.2,2017,11
23,Jay Ajayi,PHI,1,7,91,0,1,1,10,0,10.1,10.1,2017,11
24,Devontae Booker,DEN,1,14,44,0,6,5,54,0,9.8,9.8,2017,11
25,Ameer Abdullah,DET,1,11,22,0,2,2,13,1,9.5,9.5,2017,11
26,Jamaal Williams,GB,1,18,57,0,6,4,38,0,9.5,9.5,2017,11
27,Chris Thompson,WAS,1,4,17,0,1,1,16,1,9.3,9.3,2017,11
28,Alfred Morris,DAL,1,17,91,0,0,0,0,0,9.1,9.1,2017,11
29,Kenjon Barner,PHI,1,1,4,1,1,1,22,0,8.6,8.6,2017,11
30,Kareem Hunt,KC,1,18,73,0,4,3,4,0,7.7,7.7,2017,11
31,Marshawn Lynch,OAK,1,11,67,0,1,1,10,0,7.7,7.7,2017,11
32,Jerick McKinnon,MIN,1,14,48,0,7,5,12,0,6.0,6.0,2017,11
33,Mike Davis,SEA,1,6,18,0,2,2,41,0,5.9,5.9,2017,11
34,LeGarrette Blount,PHI,1,13,57,0,0,0,0,0,5.7,5.7,2017,11
35,Travaris Cadet,BUF,1,3,17,0,6,6,39,0,5.6,5.6,2017,11
36,J.D. McKissic,SEA,1,7,30,0,6,5,23,0,5.3,5.3,2017,11
37,Joe Mixon,CIN,1,20,49,0,2,2,0,0,4.9,4.9,2017,11
38,DeMarco Murray,TEN,1,8,10,0,6,5,37,0,4.7,4.7,2017,11
39,Doug Martin,TB,1,19,38,0,3,2,6,0,4.4,4.4,2017,11
40,Terron Ward,ATL,1,6,31,0,1,1,11,0,4.2,4.2,2017,11
41,Adrian Peterson,ARI,1,14,26,0,1,1,13,0,3.9,3.9,2017,11
42,Theo Riddick,DET,1,9,35,0,2,1,4,0,3.9,3.9,2017,11
43,Rex Burkhead,NE,1,5,16,0,6,4,21,0,3.7,3.7,2017,11
44,Derrick Henry,TEN,1,7,32,0,0,0,0,0,3.2,3.2,2017,11
45,Jalen Richard,OAK,1,4,19,0,3,2,9,0,2.8,2.8,2017,11
46,Charles Sims,TB,1,1,3,0,5,3,25,0,2.8,2.8,2017,11
47,Shane Vereen,NYG,1,2,13,0,3,3,15,0,2.8,2.8,2017,11
48,D.J. Foster,ARI,1,0,0,0,2,2,26,0,2.6,2.6,2017,11
49,Charcandrick West,KC,1,4,15,0,4,4,9,0,2.4,2.4,2017,11
50,Danny Woodhead,BAL,1,1,2,0,6,5,21,0,2.3,2.3,2017,11
1,Alvin Kamara,NO,1,5,87,1,6,6,101,1,30.8,30.8,2017,12
2,Jamaal Williams,GB,1,21,66,1,5,4,69,1,25.5,25.5,2017,12
3,Joe Mixon,CIN,1,23,114,1,3,3,51,0,22.5,22.5,2017,12
4,Tevin Coleman,ATL,1,19,97,2,0,0,0,0,21.7,21.7,2017,12
5,Le'Veon Bell,PIT,1,20,95,0,14,12,88,0,18.3,18.3,2017,12
6,Rex Burkhead,NE,1,13,50,1,2,2,3,1,17.3,17.3,2017,12
