,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
1,Jimmy Graham,SEA,1,9,6,27,2,14.7,14.7,2017,10
2,Garrett Celek,SF,1,6,4,67,1,12.7,12.7,2017,10
3,Jermaine Gresham,ARI,1,7,5,64,1,12.4,12.4,2017,10
4,Austin Hooper,ATL,1,6,6,49,1,10.9,10.9,2017,10
5,Eric Ebron,DET,1,3,2,39,1,9.9,9.9,2017,10
6,Ed Dickson,CAR,1,5,3,33,1,9.3,9.3,2017,10
7,Evan Engram,NYG,1,9,6,31,1,9.1,9.1,2017,10
8,Vernon Davis,WAS,1,11,7,76,0,7.6,7.6,2017,10
9,Vance McDonald,PIT,1,2,2,16,1,7.6,7.6,2017,10
10,Rob Gronkowski,NE,1,7,4,74,0,7.4,7.4,2017,10
11,Dwayne Allen,NE,1,2,1,11,1,7.1,7.1,2017,10
12,Seth Devalve,CLE,1,6,4,70,0,7.0,7.0,2017,10
13,Julius Thomas,MIA,1,5,2,8,1,6.8,6.8,2017,10
14,Nick O'Leary,BUF,1,2,1,7,1,6.7,6.7,2017,10
15,Austin Seferian-Jenkins,NYJ,1,9,6,67,0,6.7,6.7,2017,10
16,Delanie Walker,TEN,1,9,6,63,0,6.3,6.3,2017,10
17,David Morgan,MIN,1,1,1,1,1,6.1,6.1,2017,10
18,Jason Witten,DAL,1,7,7,59,0,5.9,5.9,2017,10
19,Adam Shaheen,CHI,1,2,2,39,0,3.9,3.9,2017,10
20,Martellus Bennett,NE,1,3,3,38,0,3.8,3.8,2017,10
21,Kyle Rudolph,MIN,1,7,5,37,0,3.7,3.7,2017,10
22,Stephen Anderson,HOU,1,3,2,30,0,3.0,3.0,2017,10
23,Marcedes Lewis,JAC,1,5,2,29,0,2.9,2.9,2017,10
24,Daniel Brown,CHI,1,3,2,23,0,2.3,2.3,2017,10
25,Tyler Higbee,LAR,1,4,2,22,0,2.2,2.2,2017,10
26,Nick Vannett,SEA,1,2,2,22,0,2.2,2.2,2017,10
27,Jonnu Smith,TEN,1,5,2,20,0,2.0,2.0,2017,10
28,Charles Clay,BUF,1,3,2,13,0,1.3,1.3,2017,10
29,Cameron Brate,TB,1,3,1,10,0,1.0,1.0,2017,10
30,C.J. Fiedorowicz,HOU,1,6,2,10,0,1.0,1.0,2017,10
31,Levine Toilolo,ATL,1,1,1,10,0,1.0,1.0,2017,10
32,Jack Doyle,IND,1,5,2,9,0,0.9,0.9,2017,10
33,Lance Kendricks,GB,1,2,1,9,0,0.9,0.9,2017,10
34,Richard Rodgers,GB,1,1,1,8,0,0.8,0.8,2017,10
35,Hunter Henry,LAC,1,2,1,7,0,0.7,0.7,2017,10
36,Jeff Heuerman,DEN,1,3,1,4,0,0.4,0.4,2017,10
37,Michael Hoomanawanui,NO,1,1,1,4,0,0.4,0.4,2017,10
38,Tyler Kroft,CIN,1,6,1,4,0,0.4,0.4,2017,10
39,Antonio Gates,LAC,1,2,1,3,0,0.3,0.3,2017,10
40,David Njoku,CLE,1,6,1,3,0,0.3,0.3,2017,10
41,A.J. Derby,DEN,1,1,1,2,0,0.2,0.2,2017,10
42,Darrell Daniels,IND,1,2,0,0,0,0.0,0.0,2017,10
43,Gerald Everett,LAR,1,2,0,0,0,0.0,0.0,2017,10
44,Darren Fells,DET,1,1,0,0,0,0.0,0.0,2017,10
45,Coby Fleener,NO,1,1,0,0,0,0.0,0.0,2017,10
46,Jesse James,PIT,1,2,0,0,0,0.0,0.0,2017,10
47,Ben Koyack,JAC,1,1,0,0,0,0.0,0.0,2017,10
48,Troy Niklas,ARI,1,2,0,0,0,0.0,0.0,2017,10
49,Neal Sterling,NYJ,1,1,0,0,0,0.0,0.0,2017,10
50,Josh Hill,NO,1,1,1,-2,0,-0.2,-0.2,2017,10
1,Ricky Seals-Jones,ARI,1,5,3,54,2,17.4,17.4,2017,11
2,Jimmy Graham,SEA,1,11,7,58,1,11.8,11.8,2017,11
3,O.J. Howard,TB,1,4,3,52,1,11.2,11.2,2017,11
4,Travis Kelce,KC,1,14,8,109,0,10.9,10.9,2017,11
5,Adam Shaheen,CHI,1,4,4,41,1,10.1,10.1,2017,11
6,Delanie Walker,TEN,1,9,6,92,0,9.2,9.2,2017,11
7,Coby Fleener,NO,1,5,5,91,0,9.1,9.1,2017,11
8,Levine Toilolo,ATL,1,2,2,31,1,9.1,9.1,2017,11
9,Marcedes Lewis,JAC,1,2,2,26,1,8.6,8.6,2017,11
10,Jesse James,PIT,1,8,5,21,1,8.1,8.1,2017,11
11,Tyler Kroft,CIN,1,3,2,12,1,7.2,7.2,2017,11
12,Vernon Davis,WAS,1,6,3,67,0,6.7,6.7,2017,11
13,Jeremy Sprinkle,WAS,1,1,1,7,1,6.7,6.7,2017,11
14,Kyle Rudolph,MIN,1,7,5,58,0,5.8,5.8,2017,11
15,Josh Hill,NO,1,1,1,3,1,5.5,5.5,2017,11
16,Eric Ebron,DET,1,7,4,49,0,4.9,4.9,2017,11
17,Jared Cook,OAK,1,5,2,36,0,3.6,3.6,2017,11
18,Rob Gronkowski,NE,1,3,3,36,0,3.6,3.6,2017,11
19,Austin Traylor,DEN,1,5,4,36,0,3.6,3.6,2017,11
20,Ben Watson,BAL,1,1,1,33,0,3.3,3.3,2017,11
21,Julius Thomas,MIA,1,4,4,30,0,3.0,3.0,2017,11
22,Brent Celek,PHI,1,2,1,28,0,2.8,2.8,2017,11
23,Charles Clay,BUF,1,4,3,27,0,2.7,2.7,2017,11
24,Hunter Henry,LAC,1,5,2,25,0,2.5,2.5,2017,11
25,Dwayne Allen,NE,1,2,2,24,0,2.4,2.4,2017,11
26,Daniel Brown,CHI,1,5,2,23,0,2.3,2.3,2017,11
27,Stephen Anderson,HOU,1,3,1,22,0,2.2,2.2,2017,11
28,C.J. Fiedorowicz,HOU,1,2,2,18,0,1.8,1.8,2017,11
29,Niles Paul,WAS,1,2,2,11,0,1.6,1.6,2017,11
30,Martellus Bennett,NE,1,3,3,15,0,1.5,1.5,2017,11
31,Virgil Green,DEN,1,4,2,13,0,1.3,1.3,2017,11
32,David Njoku,CLE,1,1,1,13,0,1.3,1.3,2017,11
33,Cameron Brate,TB,1,3,1,12,0,1.2,1.2,2017,11
34,James O'Shaughnessy,JAC,1,1,1,12,0,1.2,1.2,2017,11
35,Ross Travis,KC,1,3,1,11,0,1.1,1.1,2017,11
36,Jermaine Gresham,ARI,1,1,1,10,0,1.0,1.0,2017,11
37,Sean McGrath,LAC,1,1,1,10,0,1.0,1.0,2017,11
38,Evan Engram,NYG,1,6,1,9,0,0.9,0.9,2017,11
39,Darren Fells,DET,1,1,1,9,0,0.9,0.9,2017,11
40,Zach Ertz,PHI,1,5,2,8,0,0.8,0.8,2017,11
41,Gerald Everett,LAR,1,2,1,8,0,0.8,0.8,2017,11
42,Nick O'Leary,BUF,1,3,1,8,0,0.8,0.8,2017,11
43,Rhett Ellison,NYG,1,1,1,7,0,0.7,0.7,2017,11
44,Jason Witten,DAL,1,1,1,7,0,0.7,0.7,2017,11
45,Jerell Adams,NYG,1,1,1,6,0,0.6,0.6,2017,11
46,Maxx Williams,BAL,1,2,2,6,0,0.6,0.6,2017,11
47,Seth Devalve,CLE,1,3,1,5,0,0.5,0.5,2017,11
48,Tyler Higbee,LAR,1,5,1,5,0,0.5,0.5,2017,11
49,Lance Kendricks,GB,1,4,1,5,0,0.5,0.5,2017,11
50,David Morgan,MIN,1,1,1,5,0,0.5,0.5,2017,11
1,Rob Gronkowski,NE,1,8,5,82,2,20.2,20.2,2017,12
2,Kyle Rudolph,MIN,1,4,4,63,2,18.3,18.3,2017,12
3,Zach Ertz,PHI,1,12,10,103,1,16.3,16.3,2017,12
4,Hunter Henry,LAC,1,5,5,76,1,13.6,13.6,2017,12
5,Ricky Seals-Jones,ARI,1,6,4,72,1,13.2,13.2,2017,12
6,Delanie Walker,TEN,1,5,4,63,1,12.3,12.3,2017,12
7,Jack Doyle,IND,1,8,7,94,0,9.4,9.4,2017,12
8,Jimmy Graham,SEA,1,6,3,34,1,9.4,9.4,2017,12
9,Nick Vannett,SEA,1,4,2,29,1,8.9,8.9,2017,12
10,Tyler Kroft,CIN,1,4,3,14,1,7.4,7.4,2017,12
11,Xavier Grimble,PIT,1,1,1,1,1,6.1,6.1,2017,12
12,Charles Clay,BUF,1,4,4,60,0,6.0,6.0,2017,12
13,O.J. Howard,TB,1,4,3,52,0,5.2,5.2,2017,12
14,Julius Thomas,MIA,1,6,5,52,0,5.2,5.2,2017,12
15,Tyler Higbee,LAR,1,3,3,48,0,4.8,4.8,2017,12
16,David Njoku,CLE,1,4,4,47,0,4.7,4.7,2017,12
17,Jason Witten,DAL,1,7,7,44,0,4.4,4.4,2017,12
18,Travis Kelce,KC,1,4,3,39,0,3.9,3.9,2017,12
19,Austin Hooper,ATL,1,5,3,38,0,3.8,3.8,2017,12
20,C.J. Fiedorowicz,HOU,1,8,4,37,0,3.7,3.7,2017,12
21,Eric Ebron,DET,1,4,4,34,0,3.4,3.4,2017,12
22,Austin Traylor,DEN,1,4,1,34,0,3.4,3.4,2017,12
23,Seth Devalve,CLE,1,2,2,33,0,3.3,3.3,2017,12
24,Demetrius Harris,KC,1,2,2,33,0,3.3,3.3,2017,12
25,Jesse James,PIT,1,4,3,32,0,3.2,3.2,2017,12
26,Ben Watson,BAL,1,3,3,29,0,2.9,2.9,2017,12
27,Austin Seferian-Jenkins,NYJ,1,7,2,27,0,2.7,2.7,2017,12
28,Richard Rodgers,GB,1,3,1,25,0,2.5,2.5,2017,12
29,Troy Niklas,ARI,1,2,2,22,0,2.2,2.2,2017,12
30,Daniel Brown,CHI,1,3,2,20,0,2.0,2.0,2017,12
31,Evan Engram,NYG,1,7,3,18,0,1.8,1.8,2017,12
32,Nick O'Leary,BUF,1,2,2,18,0,1.8,1.8,2017,12
33,Virgil Green,DEN,1,3,1,16,0,1.6,1.6,2017,12
34,Niles Paul,WAS,1,5,3,16,0,1.6,1.6,2017,12
35,Ed Dickson,CAR,1,3,1,15,0,1.5,1.5,2017,12
