,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
1022,Aaron Jones,GB,1,13,49,1,0,0,0,0,10.9,10.9,2017,4,19.4
1053,Aaron Jones,GB,1,19,125,1,1,1,9,0,19.4,19.4,2017,5,4.2
1139,Aaron Jones,GB,1,13,41,0,4,1,1,0,4.2,4.2,2017,6,19.8
1153,Aaron Jones,GB,1,17,131,1,5,3,7,0,19.8,19.8,2017,7,8.0
1482,Aaron Jones,GB,1,1,20,1,0,0,0,0,8.0,8.0,2017,13,5.3
1590,Aaron Jones,GB,1,3,47,0,2,1,6,0,5.3,5.3,2017,15,
391,Aaron Ripkowski,GB,1,6,34,0,1,1,-1,0,3.3,3.3,2016,8,7.6
575,Aaron Ripkowski,GB,1,3,1,1,2,2,15,0,7.6,7.6,2016,12,7.8
624,Aaron Ripkowski,GB,1,3,14,1,1,1,4,0,7.8,7.8,2016,13,13.6
812,Aaron Ripkowski,GB,1,9,61,0,2,2,15,1,13.6,13.6,2016,17,
994,Adrian Peterson,NO,1,9,33,0,2,2,4,0,3.7,3.7,2017,3,25.4
1102,Adrian Peterson,ARI,1,26,134,2,0,0,0,0,25.4,25.4,2017,6,3.3
1197,Adrian Peterson,ARI,1,11,21,0,4,1,12,0,3.3,3.3,2017,7,16.7
1255,Adrian Peterson,ARI,1,37,159,0,4,2,8,0,16.7,16.7,2017,9,4.2
1346,Adrian Peterson,ARI,1,21,29,0,2,1,13,0,4.2,4.2,2017,10,3.9
1390,Adrian Peterson,ARI,1,14,26,0,1,1,13,0,3.9,3.9,2017,11,9.9
1419,Adrian Peterson,ARI,1,20,79,0,5,4,20,0,9.9,9.9,2017,12,
277,Alex Collins,SEA,1,1,2,1,1,1,9,0,7.1,7.1,2016,6,5.6
687,Alex Collins,SEA,1,7,23,0,3,3,33,0,5.6,5.6,2016,14,5.9
838,Alex Collins,SEA,1,7,55,0,1,1,4,0,5.9,5.9,2016,17,4.2
943,Alex Collins,BAL,1,7,42,0,0,0,0,0,4.2,4.2,2017,2,8.2
979,Alex Collins,BAL,1,9,82,0,0,0,0,0,8.2,8.2,2017,3,8.2
1029,Alex Collins,BAL,1,9,82,0,2,0,0,0,8.2,8.2,2017,4,5.5
1082,Alex Collins,BAL,1,12,55,0,0,0,0,0,5.5,5.5,2017,5,7.4
1126,Alex Collins,BAL,1,15,74,0,0,0,0,0,7.4,7.4,2017,6,3.0
1199,Alex Collins,BAL,1,10,30,0,0,0,0,0,3.0,3.0,2017,7,14.3
1208,Alex Collins,BAL,1,18,113,0,2,2,30,0,14.3,14.3,2017,8,4.6
1283,Alex Collins,BAL,1,13,43,0,1,1,3,0,4.6,4.6,2017,9,13.1
1361,Alex Collins,BAL,1,20,49,1,7,4,22,0,13.1,13.1,2017,11,11.7
1413,Alex Collins,BAL,1,16,60,1,2,2,-3,0,11.7,11.7,2017,12,21.8
1453,Alex Collins,BAL,1,15,75,2,2,2,23,0,21.8,21.8,2017,13,22.6
1506,Alex Collins,BAL,1,18,120,1,2,2,46,0,22.6,22.6,2017,14,5.2
1591,Alex Collins,BAL,1,12,19,0,8,5,33,0,5.2,5.2,2017,15,6.6
1630,Alex Collins,BAL,1,18,51,0,4,3,15,0,6.6,6.6,2017,16,15.6
1657,Alex Collins,BAL,1,20,78,1,6,2,18,0,15.6,15.6,2017,17,
241,Alfred Blue,HOU,1,6,39,0,0,0,0,0,3.9,3.9,2016,5,6.3
334,Alfred Blue,HOU,1,11,63,0,3,0,0,0,6.3,6.3,2016,7,4.1
