,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week,next_fp
2,A.J. Green,CIN,1,13,12,180,1,0,0,0,24.0,24.0,2016,1,7.7
131,A.J. Green,CIN,1,11,8,77,0,0,0,0,7.7,7.7,2016,3,23.3
152,A.J. Green,CIN,1,12,10,173,1,0,0,0,23.3,23.3,2016,4,5.0
243,A.J. Green,CIN,1,8,4,50,0,0,0,0,5.0,5.0,2016,5,8.8
276,A.J. Green,CIN,1,10,6,88,0,0,0,0,8.8,8.8,2016,6,22.9
301,A.J. Green,CIN,1,8,8,169,1,0,0,0,22.9,22.9,2016,7,12.1
367,A.J. Green,CIN,1,18,9,121,0,0,0,0,12.1,12.1,2016,8,12.8
466,A.J. Green,CIN,1,11,7,68,1,0,0,0,12.8,12.8,2016,10,7.4
876,A.J. Green,CIN,1,10,5,74,0,0,0,0,7.4,7.4,2017,1,6.7
937,A.J. Green,CIN,1,8,5,67,0,0,0,0,6.7,6.7,2017,2,17.1
959,A.J. Green,CIN,1,13,10,111,1,0,0,0,17.1,17.1,2017,3,12.3
1010,A.J. Green,CIN,1,7,5,63,1,0,0,0,12.3,12.3,2017,4,24.9
1050,A.J. Green,CIN,1,13,7,189,1,0,0,0,24.9,24.9,2017,5,4.1
1197,A.J. Green,CIN,1,6,3,41,0,0,0,0,4.1,4.1,2017,7,8.7
1218,A.J. Green,CIN,1,8,3,27,1,0,0,0,8.7,8.7,2017,8,17.5
1303,A.J. Green,CIN,1,7,5,115,1,0,0,0,17.5,17.5,2017,10,11.0
1366,A.J. Green,CIN,1,9,4,50,1,0,0,0,11.0,11.0,2017,11,6.6
1436,A.J. Green,CIN,1,8,5,66,0,0,0,0,6.6,6.6,2017,12,19.7
1452,A.J. Green,CIN,1,16,7,77,2,0,0,0,19.7,19.7,2017,13,6.4
1540,A.J. Green,CIN,1,12,5,64,0,0,0,0,6.4,6.4,2017,14,8.1
1624,A.J. Green,CIN,1,10,6,81,0,0,0,0,8.1,8.1,2017,16,
99,Adam Humphries,TB,1,8,6,67,0,0,0,0,6.7,6.7,2016,2,10.0
121,Adam Humphries,TB,1,12,9,100,0,0,0,0,10.0,10.0,2016,3,5.8
395,Adam Humphries,TB,1,4,3,58,0,0,0,0,5.8,5.8,2016,8,10.6
420,Adam Humphries,TB,1,7,5,46,1,0,0,0,10.6,10.6,2016,9,4.8
498,Adam Humphries,TB,1,8,5,46,0,1,2,0,4.8,4.8,2016,10,4.7
549,Adam Humphries,TB,1,7,4,47,0,0,0,0,4.7,4.7,2016,11,10.9
722,Adam Humphries,TB,1,5,2,49,1,0,0,0,10.9,10.9,2016,15,9.4
821,Adam Humphries,TB,1,13,10,94,0,0,0,0,9.4,9.4,2016,17,6.8
993,Adam Humphries,TB,1,10,6,68,0,0,0,0,6.8,6.8,2017,3,7.0
1031,Adam Humphries,TB,1,7,6,70,0,0,0,0,7.0,7.0,2017,4,5.1
1088,Adam Humphries,TB,1,5,3,51,0,0,0,0,5.1,5.1,2017,5,5.1
1139,Adam Humphries,TB,1,7,6,51,0,0,0,0,5.1,5.1,2017,6,10.9
1570,Adam Humphries,TB,1,5,5,43,1,1,6,0,10.9,10.9,2017,15,5.1
1640,Adam Humphries,TB,1,3,3,51,0,0,0,0,5.1,5.1,2017,16,10.2
1671,Adam Humphries,TB,1,11,7,102,0,0,0,0,10.2,10.2,2017,17,
206,Adam Thielen,MIN,1,8,7,127,1,0,0,0,18.7,18.7,2016,5,5.2
344,Adam Thielen,MIN,1,5,2,52,0,0,0,0,5.2,5.2,2016,7,6.8
436,Adam Thielen,MIN,1,6,4,68,0,0,0,0,6.8,6.8,2016,9,9.2
484,Adam Thielen,MIN,1,4,3,21,1,1,11,0,9.2,9.2,2016,10,12.5
509,Adam Thielen,MIN,1,5,5,65,1,0,0,0,12.5,12.5,2016,11,8.6
626,Adam Thielen,MIN,1,9,7,86,0,0,0,0,8.6,8.6,2016,13,10.1
673,Adam Thielen,MIN,1,5,4,101,0,0,0,0,10.1,10.1,2016,14,32.6
