,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp,rush_att,rush_yd,rush_td
446,A.J. Derby,DEN,1,1,0,0,0,0.0,0.0,2016,9,2.2,,,
485,A.J. Derby,DEN,1,3,2,22,0,2.2,2.2,2016,10,4.3,,,
571,A.J. Derby,DEN,1,4,4,43,0,4.3,4.3,2016,12,5.7,,,
662,A.J. Derby,DEN,1,5,5,57,0,5.7,5.7,2016,14,3.5,,,
723,A.J. Derby,DEN,1,6,4,35,0,3.5,3.5,2016,15,3.4,,,
870,A.J. Derby,DEN,1,3,3,34,0,3.4,3.4,2017,1,0.5,,,
997,A.J. Derby,DEN,1,2,1,5,0,0.5,0.5,2017,3,13.5,,,
1003,A.J. Derby,DEN,1,6,4,75,1,13.5,13.5,2017,4,1.0,,,
1138,A.J. Derby,DEN,1,4,1,10,0,1.0,1.0,2017,6,6.6,,,
1165,A.J. Derby,DEN,1,7,6,66,0,6.6,6.6,2017,7,8.1,,,
1207,A.J. Derby,DEN,1,4,2,21,1,8.1,8.1,2017,8,1.1,,,
1282,A.J. Derby,DEN,1,3,1,11,0,1.1,1.1,2017,9,0.2,,,
1340,A.J. Derby,DEN,1,1,1,2,0,0.2,0.2,2017,10,1.1,,,
1640,A.J. Derby,MIA,1,5,1,11,0,1.1,1.1,2017,16,0.9,,,
1687,A.J. Derby,MIA,1,4,1,9,0,0.9,0.9,2017,17,,,,
964,Adam Shaheen,CHI,1,1,1,2,1,6.2,6.2,2017,3,3.9,,,
1318,Adam Shaheen,CHI,1,2,2,39,0,3.9,3.9,2017,10,10.1,,,
1354,Adam Shaheen,CHI,1,4,4,41,1,10.1,10.1,2017,11,10.4,,,
1505,Adam Shaheen,CHI,1,5,4,44,1,10.4,10.4,2017,14,,,,
198,Alan Cross,TB,1,1,0,0,0,0.0,0.0,2016,4,0.5,,,
237,Alan Cross,TB,1,1,1,5,0,0.5,0.5,2016,5,6.3,,,
513,Alan Cross,TB,1,1,1,3,1,6.3,6.3,2016,11,1.0,,,
595,Alan Cross,TB,1,1,1,10,0,1.0,1.0,2016,12,0.8,,,
642,Alan Cross,TB,1,2,1,8,0,0.8,0.8,2016,13,0.0,,,
848,Alan Cross,TB,1,1,0,0,0,0.0,0.0,2016,17,0.5,,,
996,Alan Cross,TB,1,1,1,5,0,0.5,0.5,2017,3,1.3,,,
1494,Alan Cross,TB,1,1,1,13,0,1.3,1.3,2017,13,2.3,,,
1580,Alan Cross,TB,1,2,1,23,0,2.3,2.3,2017,15,1.1,,,
1682,Alan Cross,TB,1,1,1,11,0,1.1,1.1,2017,17,,,,
199,Anthony Fasano,TEN,1,1,0,0,0,0.0,0.0,2016,4,1.0,,,
230,Anthony Fasano,TEN,1,1,1,10,0,1.0,1.0,2016,5,7.5,,,
263,Anthony Fasano,TEN,1,1,1,15,1,7.5,7.5,2016,6,1.0,,,
333,Anthony Fasano,TEN,1,2,1,10,0,1.0,1.0,2016,7,0.9,,,
443,Anthony Fasano,TEN,1,1,1,9,0,0.9,0.9,2016,9,6.9,,,
462,Anthony Fasano,TEN,1,1,1,9,1,6.9,6.9,2016,10,1.7,,,
684,Anthony Fasano,TEN,1,2,1,17,0,1.7,1.7,2016,14,1.2,,,
795,Anthony Fasano,TEN,1,1,1,12,0,1.2,1.2,2016,16,8.5,,,
