,name,team,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
0,Aaron Jones,Packers,13.0,49.0,1.0,0.0,0.0,0.0,0.0,10.9,2017,4,19.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64,4,0.0,0.0
1,Aaron Jones,Packers,19.0,125.0,1.0,1.0,1.0,9.0,0.0,19.4,2017,5,4.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88,2,0.0,0.0
2,Aaron Jones,Packers,13.0,41.0,0.0,4.0,1.0,1.0,0.0,4.2,2017,6,19.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DOME,0,0.0,0.0
3,Ty Montgomery,Packers,10.0,28.0,0.0,3.0,1.0,3.0,0.0,3.1,2017,6,5.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DOME,0,0.0,1.0
4,Aaron Jones,Packers,17.0,131.0,1.0,5.0,3.0,7.0,0.0,19.8,2017,7,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51,5,0.0,0.0
5,Aaron Jones,Packers,1.0,20.0,1.0,0.0,0.0,0.0,0.0,8.0,2017,13,5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,1,0.0,1.0
6,Jamaal Williams,Packers,21.0,113.0,1.0,3.0,2.0,10.0,0.0,18.3,2017,13,23.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,1,0.0,0.0
7,Aaron Ripkowski,Packers,6.0,34.0,0.0,1.0,1.0,-1.0,0.0,3.3,2016,8,7.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DOME,0,0.0,0.0
8,Aaron Ripkowski,Packers,3.0,1.0,1.0,2.0,2.0,15.0,0.0,7.6,2016,12,7.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47,4,0.0,0.0
9,Aaron Ripkowski,Packers,3.0,14.0,1.0,1.0,1.0,4.0,0.0,7.8,2016,13,13.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,4,1.0,0.0
10,Ty Montgomery,Packers,6.0,40.0,0.0,3.0,2.0,16.0,0.0,5.6,2016,13,14.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,4,1.0,0.0
11,Adrian Peterson,Saints,9.0,33.0,0.0,2.0,2.0,4.0,0.0,3.7,2017,3,25.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81,4,0.0,0.0
12,Alvin Kamara,Saints,2.0,37.0,1.0,5.0,3.0,5.0,0.0,10.2,2017,3,15.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81,4,0.0,0.0
13,Mark Ingram,Saints,14.0,56.0,0.0,4.0,2.0,30.0,0.0,8.6,2017,3,6.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81,4,0.0,0.0
14,Adrian Peterson,Cardinals,26.0,134.0,2.0,0.0,0.0,0.0,0.0,25.4,2017,6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DOME,0,0.0,0.0
15,Adrian Peterson,Cardinals,11.0,21.0,0.0,4.0,1.0,12.0,0.0,3.3,2017,7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,4,0.0,0.0
16,Adrian Peterson,Cardinals,37.0,159.0,0.0,4.0,2.0,8.0,0.0,16.7,2017,9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57,1,0.0,0.0
17,Adrian Peterson,Cardinals,21.0,29.0,0.0,2.0,1.0,13.0,0.0,4.2,2017,10,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DOME,0,0.0,0.0
18,Andre Ellington,Cardinals,2.0,4.0,1.0,6.0,3.0,26.0,0.0,9.0,2017,10,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DOME,0,0.0,0.0
19,Adrian Peterson,Cardinals,14.0,26.0,0.0,1.0,1.0,13.0,0.0,3.9,2017,11,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,5,0.0,0.0
20,Alex Collins,Seahawks,1.0,2.0,1.0,1.0,1.0,9.0,0.0,7.1,2016,6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54,5,0.0,0.0
21,Christine Michael,Seahawks,18.0,64.0,2.0,3.0,3.0,19.0,0.0,20.3,2016,6,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54,5,0.0,0.0
22,Alex Collins,Seahawks,7.0,23.0,0.0,3.0,3.0,33.0,0.0,5.6,2016,14,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,2,0.0,0.0
23,Thomas Rawls,Seahawks,12.0,67.0,0.0,2.0,1.0,7.0,0.0,7.4,2016,14,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,2,0.0,1.0
24,Alex Collins,Seahawks,7.0,55.0,0.0,1.0,1.0,4.0,0.0,5.9,2016,17,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,6,0.0,0.0
25,Thomas Rawls,Seahawks,8.0,14.0,1.0,0.0,0.0,0.0,0.0,7.4,2016,17,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,6,0.0,1.0
26,Alex Collins,Ravens,7.0,42.0,0.0,0.0,0.0,0.0,0.0,4.2,2017,2,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
27,Alex Collins,Ravens,7.0,42.0,0.0,0.0,0.0,0.0,0.0,4.2,2017,2,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
28,Alex Collins,Ravens,7.0,42.0,0.0,0.0,0.0,0.0,0.0,4.2,2017,2,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
29,Javorius Allen,Ravens,14.0,66.0,0.0,6.0,5.0,35.0,1.0,16.1,2017,2,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
30,Javorius Allen,Ravens,14.0,66.0,0.0,6.0,5.0,35.0,1.0,16.1,2017,2,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
31,Javorius Allen,Ravens,14.0,66.0,0.0,6.0,5.0,35.0,1.0,16.1,2017,2,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,0.0,0.0
32,Alex Collins,Ravens,9.0,82.0,0.0,0.0,0.0,0.0,0.0,8.2,2017,3,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70,7,0.0,0.0
33,Alex Collins,Ravens,9.0,82.0,0.0,2.0,0.0,0.0,0.0,8.2,2017,4,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,0.0,0.0
34,Javorius Allen,Ravens,2.0,7.0,0.0,6.0,6.0,37.0,0.0,4.4,2017,4,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,0.0,0.0
35,Alex Collins,Ravens,12.0,55.0,0.0,0.0,0.0,0.0,0.0,5.5,2017,5,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75,3,0.0,0.0
36,Javorius Allen,Ravens,21.0,73.0,1.0,5.0,4.0,12.0,0.0,14.5,2017,5,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75,3,0.0,0.0
37,Alex Collins,Ravens,15.0,74.0,0.0,0.0,0.0,0.0,0.0,7.4,2017,6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68,4,0.0,0.0
38,Javorius Allen,Ravens,10.0,49.0,0.0,4.0,3.0,17.0,0.0,6.6,2017,6,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68,4,0.0,0.0
39,Alex Collins,Ravens,10.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,2017,7,14.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
40,Javorius Allen,Ravens,6.0,20.0,0.0,11.0,8.0,29.0,0.0,4.9,2017,7,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
41,Alex Collins,Ravens,18.0,113.0,0.0,2.0,2.0,30.0,0.0,14.3,2017,8,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0.0,0.0
42,Javorius Allen,Ravens,17.0,55.0,0.0,3.0,1.0,2.0,0.0,5.7,2017,8,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0.0,0.0
43,Alex Collins,Ravens,13.0,43.0,0.0,1.0,1.0,3.0,0.0,4.6,2017,9,13.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.0,0.0
44,Javorius Allen,Ravens,7.0,21.0,0.0,8.0,7.0,44.0,1.0,12.5,2017,9,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.0,0.0
45,Alex Collins,Ravens,20.0,49.0,1.0,7.0,4.0,22.0,0.0,13.1,2017,11,11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,0.0,0.0
46,Danny Woodhead,Ravens,1.0,2.0,0.0,6.0,5.0,21.0,0.0,2.3,2017,11,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,0.0,0.0
47,Alex Collins,Ravens,16.0,60.0,1.0,2.0,2.0,-3.0,0.0,11.7,2017,12,21.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.0
48,Danny Woodhead,Ravens,4.0,22.0,0.0,4.0,4.0,23.0,0.0,4.5,2017,12,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.0
49,Javorius Allen,Ravens,5.0,15.0,1.0,1.0,1.0,2.0,0.0,7.7,2017,12,17.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.0
50,Alex Collins,Ravens,15.0,75.0,2.0,2.0,2.0,23.0,0.0,21.8,2017,13,22.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,1,0.0,1.0
51,Alex Collins,Ravens,18.0,120.0,1.0,2.0,2.0,46.0,0.0,22.6,2017,14,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0.0,0.0
52,Javorius Allen,Ravens,6.0,25.0,2.0,2.0,2.0,32.0,0.0,17.7,2017,14,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0.0,0.0
53,Alex Collins,Ravens,12.0,19.0,0.0,8.0,5.0,33.0,0.0,5.2,2017,15,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,0.0,0.0
54,Javorius Allen,Ravens,13.0,70.0,0.0,3.0,1.0,4.0,0.0,7.4,2017,15,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,0.0,0.0
55,Alex Collins,Ravens,18.0,51.0,0.0,4.0,3.0,15.0,0.0,6.6,2017,16,15.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61,5,1.0,0.0
56,Javorius Allen,Ravens,8.0,37.0,0.0,1.0,1.0,10.0,0.0,4.7,2017,16,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61,5,1.0,0.0
57,Alfred Blue,Texans,6.0,39.0,0.0,0.0,0.0,0.0,0.0,3.9,2016,5,6.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
58,Lamar Miller,Texans,8.0,20.0,0.0,3.0,1.0,4.0,0.0,2.4,2016,5,29.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
59,Alfred Blue,Texans,11.0,63.0,0.0,3.0,0.0,0.0,0.0,6.3,2016,7,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66,2,0.0,0.0
60,Lamar Miller,Texans,11.0,61.0,0.0,4.0,3.0,6.0,0.0,6.7,2016,7,12.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66,2,0.0,0.0
61,Alfred Blue,Texans,9.0,41.0,0.0,0.0,0.0,0.0,0.0,4.1,2016,8,2.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80,3,0.0,0.0
62,Lamar Miller,Texans,17.0,56.0,1.0,3.0,2.0,7.0,0.0,12.3,2016,8,8.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80,3,0.0,1.0
63,Alfred Blue,Texans,7.0,23.0,0.0,0.0,0.0,0.0,0.0,2.3,2016,10,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,6,0.0,0.0
64,Alfred Blue,Texans,7.0,23.0,0.0,0.0,0.0,0.0,0.0,2.3,2016,10,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,6,0.0,0.0
65,Lamar Miller,Texans,15.0,83.0,0.0,0.0,0.0,0.0,0.0,8.3,2016,10,17.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,6,0.0,0.0
66,Lamar Miller,Texans,15.0,83.0,0.0,0.0,0.0,0.0,0.0,8.3,2016,10,17.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,6,0.0,0.0
67,Alfred Blue,Texans,5.0,38.0,0.0,2.0,2.0,3.0,0.0,4.1,2016,13,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,4,1.0,1.0
68,Jonathan Grimes,Texans,5.0,43.0,0.0,1.0,1.0,15.0,0.0,5.8,2016,13,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,4,1.0,0.0
69,Alfred Blue,Texans,16.0,55.0,0.0,1.0,1.0,0.0,0.0,5.5,2016,14,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
70,Lamar Miller,Texans,21.0,107.0,1.0,1.0,1.0,15.0,0.0,18.2,2016,14,14.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DOME,0,0.0,0.0
71,Alfred Blue,Texans,21.0,73.0,1.0,4.0,4.0,17.0,0.0,15.0,2016,16,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72,8,0.0,0.0
72,Alfred Blue,Texans,11.0,28.0,0.0,4.0,3.0,12.0,0.0,4.0,2016,17,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49,2,0.0,0.0
73,Alfred Blue,Texans,5.0,21.0,0.0,0.0,0.0,0.0,0.0,2.1,2017,8,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50,0,0.0,0.0
74,Lamar Miller,Texans,21.0,54.0,1.0,3.0,3.0,19.0,1.0,19.3,2017,8,9.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50,0,0.0,0.0
75,Alfred Blue,Texans,12.0,55.0,0.0,1.0,0.0,0.0,0.0,5.5,2017,15,10.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68,2,0.0,0.0
76,Alfred Blue,Texans,16.0,108.0,0.0,0.0,0.0,0.0,0.0,10.8,2017,16,13.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51,4,0.0,0.0
77,Lamar Miller,Texans,10.0,55.0,0.0,1.0,1.0,10.0,0.0,6.5,2017,16,3.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51,4,0.0,0.0
78,Alfred Morris,Cowboys,5.0,7.0,1.0,0.0,0.0,0.0,0.0,6.7,2016,2,8.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84,5,0.0,0.0
79,Ezekiel Elliott,Cowboys,21.0,83.0,1.0,2.0,2.0,4.0,0.0,14.7,2016,2,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84,5,0.0,0.0
80,Alfred Morris,Cowboys,5.0,19.0,1.0,1.0,1.0,2.0,0.0,8.1,2016,3,3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75,4,0.0,0.0
81,Ezekiel Elliott,Cowboys,30.0,140.0,0.0,2.0,2.0,20.0,0.0,16.0,2016,3,21.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75,4,0.0,0.0
82,Lance Dunbar,Cowboys,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.1,2016,3,3.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75,4,0.0,0.0
83,Alfred Morris,Cowboys,7.0,34.0,0.0,0.0,0.0,0.0,0.0,3.4,2016,4,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68,8,0.0,0.0
84,Ezekiel Elliott,Cowboys,23.0,138.0,1.0,1.0,1.0,19.0,0.0,21.7,2016,4,29.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68,8,0.0,0.0
85,Alfred Morris,Cowboys,6.0,33.0,0.0,1.0,0.0,0.0,0.0,3.3,2016,5,5.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74,3,0.0,0.0
86,Ezekiel Elliott,Cowboys,15.0,134.0,2.0,4.0,3.0,37.0,0.0,29.1,2016,5,17.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74,3,0.0,0.0
87,Alfred Morris,Cowboys,17.0,56.0,0.0,0.0,0.0,0.0,0.0,5.6,2016,9,7.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56,2,0.0,0.0
88,Ezekiel Elliott,Cowboys,18.0,92.0,2.0,1.0,1.0,5.0,0.0,21.7,2016,9,38.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56,2,0.0,0.0
89,Alfred Morris,Cowboys,2.0,76.0,0.0,0.0,0.0,0.0,0.0,7.6,2017,4,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80,3,0.0,0.0
90,Ezekiel Elliott,Cowboys,21.0,85.0,1.0,5.0,4.0,54.0,1.0,25.9,2017,4,13.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80,3,0.0,0.0
91,Alfred Morris,Cowboys,11.0,53.0,0.0,0.0,0.0,0.0,0.0,5.3,2017,10,9.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DOME,0,0.0,0.0
