,name,team,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,season,week,next_fp,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
0,A.J. Green,Bengals,9.0,6.0,131.0,1.0,1.0,5.0,0.0,19.6,2014,1,10.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
1,A.J. Green,Bengals,9.0,6.0,102.0,0.0,0.0,0.0,0.0,10.2,2014,3,14.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2,A.J. Green,Bengals,7.0,5.0,81.0,1.0,0.0,0.0,0.0,14.1,2014,5,10.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
3,Mohamed Sanu,Bengals,9.0,5.0,70.0,1.0,0.0,0.0,0.0,13.0,2014,5,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
4,A.J. Green,Bengals,6.0,3.0,44.0,1.0,1.0,-3.0,0.0,10.1,2014,9,18.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
5,Mohamed Sanu,Bengals,8.0,4.0,95.0,1.0,1.0,9.0,0.0,16.4,2014,9,10.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
6,A.J. Green,Bengals,8.0,6.0,127.0,1.0,0.0,0.0,0.0,18.7,2014,11,12.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
7,A.J. Green,Bengals,16.0,12.0,121.0,0.0,0.0,0.0,0.0,12.1,2014,12,11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
8,Mohamed Sanu,Bengals,7.0,5.0,48.0,1.0,1.0,1.0,0.0,10.9,2014,12,8.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
9,A.J. Green,Bengals,8.0,4.0,57.0,1.0,0.0,0.0,0.0,11.7,2014,13,28.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
10,A.J. Green,Bengals,15.0,11.0,224.0,1.0,0.0,0.0,0.0,28.4,2014,14,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
11,A.J. Green,Bengals,11.0,5.0,49.0,0.0,0.0,0.0,0.0,4.9,2014,15,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
12,A.J. Green,Bengals,13.0,8.0,82.0,0.0,0.0,0.0,0.0,8.2,2014,17,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
13,A.J. Green,Bengals,8.0,5.0,63.0,0.0,0.0,0.0,0.0,6.3,2015,1,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
14,A.J. Green,Bengals,4.0,3.0,45.0,1.0,0.0,0.0,0.0,10.5,2015,2,34.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
15,Marvin Jones,Bengals,5.0,2.0,48.0,1.0,1.0,3.0,0.0,11.1,2015,2,15.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
16,A.J. Green,Bengals,13.0,10.0,227.0,2.0,0.0,0.0,0.0,34.7,2015,3,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
17,Marvin Jones,Bengals,8.0,5.0,94.0,1.0,0.0,0.0,0.0,15.4,2015,3,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
18,A.J. Green,Bengals,10.0,7.0,82.0,0.0,0.0,0.0,0.0,8.2,2015,4,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
19,Mohamed Sanu,Bengals,6.0,4.0,84.0,0.0,0.0,0.0,0.0,8.4,2015,4,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
20,A.J. Green,Bengals,8.0,6.0,78.0,0.0,0.0,0.0,0.0,7.8,2015,5,17.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
21,Marvin Jones,Bengals,8.0,5.0,61.0,0.0,0.0,0.0,0.0,6.1,2015,5,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
22,Mohamed Sanu,Bengals,5.0,5.0,69.0,0.0,0.0,0.0,0.0,6.9,2015,5,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
23,A.J. Green,Bengals,17.0,11.0,118.0,1.0,0.0,0.0,0.0,17.8,2015,8,5.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
24,A.J. Green,Bengals,6.0,4.0,53.0,0.0,0.0,0.0,0.0,5.3,2015,9,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
